ID,gender,pastPurchases,ageGroup,jobIndustry,wealthSegment,ownsCar,tenure,state,propertyValuation,totalSpent
1,Female,90-99,60+,Health,Mass Customer,Yes,08-11,NSW,10,3018.09
2,Male,80-89,40-49,Financial Services,Mass Customer,Yes,16-19,NSW,10,2226.26
4,Male,30-39,50-59,IT,Mass Customer,No,04-07,QLD,9,220.57
5,Female,50-59,40-49,,Affluent Customer,Yes,08-11,NSW,4,2394.94
6,Male,30-39,50-59,Retail,High Net Worth,Yes,12-15,VIC,9,3946.55
7,Female,0-9,40-49,Financial Services,Affluent Customer,Yes,08-11,NSW,9,220.11
8,Male,30-39,50-59,,Mass Customer,No,04-07,NSW,4,7066.94
9,Female,90-99,40-49,Argiculture,Affluent Customer,Yes,08-11,NSW,12,2353.11
11,Male,90-99,60+,Property,Mass Customer,No,08-11,VIC,8,3638.84
12,Male,50-59,18-29,Manufacturing,Mass Customer,No,08-11,QLD,4,3540.03
13,Male,30-39,60+,Financial Services,High Net Worth,Yes,08-11,VIC,6,4337.38
14,Female,80-89,30-39,Financial Services,Affluent Customer,No,04-07,NSW,8,121.71
15,Male,90-99,18-29,Manufacturing,Mass Customer,No,00-03,NSW,9,1728.39
16,Male,30-39,40-49,,Mass Customer,Yes,16-19,VIC,4,2929.65
17,Male,50-59,50-59,,Affluent Customer,Yes,12-15,VIC,9,2015.61
18,Female,70-79,50-59,,Affluent Customer,No,08-11,NSW,12,3543.38
19,Female,70-79,18-29,Manufacturing,High Net Worth,No,00-03,NSW,9,1359.6
20,Male,70-79,40-49,Manufacturing,Mass Customer,No,08-11,NSW,8,3608.28
21,Male,70-79,40-49,Manufacturing,Affluent Customer,Yes,16-19,NSW,7,4229.41
24,Female,50-59,40-49,Argiculture,Mass Customer,Yes,12-15,NSW,10,3689.35
25,Male,70-79,40-49,Financial Services,Mass Customer,Yes,20-22,QLD,3,4054.26
26,Female,10-19,40-49,Financial Services,Mass Customer,Yes,16-19,QLD,5,268.24
27,Male,30-39,40-49,Health,Mass Customer,Yes,12-15,VIC,7,3274.25
28,Male,0-9,40-49,Health,Affluent Customer,Yes,20-22,QLD,4,3366.56
29,Female,60-69,50-59,Manufacturing,Mass Customer,No,16-19,QLD,7,6175.3
30,Male,10-19,50-59,IT,Affluent Customer,Yes,04-07,NSW,11,2633.95
31,Female,0-9,50-59,Telecommunications,High Net Worth,Yes,12-15,NSW,12,426.11
32,Female,10-19,18-29,Manufacturing,Affluent Customer,No,04-07,NSW,9,2823.12
33,Male,40-49,60+,,Affluent Customer,Yes,08-11,NSW,9,3871.05
35,Female,40-49,50-59,Health,High Net Worth,Yes,16-19,QLD,6,2427.11
36,Female,30-39,40-49,,Affluent Customer,No,20-22,NSW,8,204.36
37,Female,40-49,30-39,Health,High Net Worth,No,16-19,QLD,1,6338.49
38,Female,30-39,60+,Financial Services,Affluent Customer,No,20-22,QLD,4,2025.34
39,Male,0-9,40-49,Entertainment,Mass Customer,No,20-22,NSW,10,6085.17
40,Female,90-99,30-39,Manufacturing,Affluent Customer,No,12-15,NSW,8,3272.7
41,Male,60-69,40-49,Health,Mass Customer,No,16-19,VIC,9,4531.68
42,Female,20-29,40-49,Manufacturing,Mass Customer,No,16-19,VIC,10,427.04
43,Female,30-39,30-39,Retail,Mass Customer,No,04-07,QLD,8,3619.95
44,Male,60-69,30-39,Entertainment,Affluent Customer,Yes,16-19,QLD,2,4768.28
45,Male,60-69,40-49,Financial Services,Mass Customer,No,08-11,NSW,3,1048.15
46,Female,90-99,40-49,,Affluent Customer,Yes,12-15,VIC,6,1623.63
47,Male,50-59,18-29,Health,Affluent Customer,No,00-03,NSW,4,4332.19
48,Female,40-49,40-49,,Mass Customer,Yes,08-11,VIC,9,5561.08
49,Male,60-69,18-29,,Affluent Customer,No,00-03,NSW,9,4248.68
50,Male,30-39,40-49,Manufacturing,Mass Customer,Yes,16-19,NSW,10,4191.47
51,Male,60-69,60+,Retail,Mass Customer,No,16-19,QLD,5,4855.4
52,Male,50-59,30-39,Financial Services,Mass Customer,Yes,12-15,NSW,8,5417.83
53,Female,20-29,60+,Financial Services,Mass Customer,No,16-19,QLD,3,2950.07
54,Female,0-9,50-59,Property,Mass Customer,Yes,16-19,NSW,8,2506.02
55,Male,40-49,60+,Financial Services,Affluent Customer,Yes,04-07,NSW,10,3220.86
56,Male,40-49,18-29,Property,Mass Customer,Yes,04-07,NSW,10,1275.24
57,Male,80-89,30-39,,Mass Customer,Yes,12-15,QLD,6,5117.96
58,Female,20-29,50-59,Financial Services,Affluent Customer,Yes,16-19,NSW,9,3501.37
59,Male,60-69,18-29,,High Net Worth,No,00-03,NSW,9,2628.37
60,Female,10-19,50-59,Manufacturing,Mass Customer,No,08-11,NSW,10,647.22
61,Female,40-49,60+,Property,High Net Worth,No,12-15,NSW,7,4254.24
62,Female,30-39,40-49,IT,Mass Customer,Yes,20-22,NSW,8,3328.69
63,Female,50-59,50-59,Retail,Mass Customer,Yes,16-19,NSW,9,2190.05
64,Male,70-79,40-49,IT,High Net Worth,No,04-07,VIC,8,546.68
65,Male,20-29,40-49,Financial Services,Affluent Customer,Yes,12-15,NSW,10,4441.61
66,Male,40-49,18-29,Argiculture,High Net Worth,No,00-03,NSW,10,3333.86
67,Male,60-69,60+,Retail,Mass Customer,No,16-19,NSW,10,1203.29
68,Female,30-39,40-49,,Affluent Customer,No,08-11,VIC,7,3842.56
69,Female,10-19,50-59,,Mass Customer,No,04-07,VIC,7,5294.75
70,Male,70-79,18-29,Financial Services,Affluent Customer,No,08-11,NSW,12,2736.9
71,Male,30-39,30-39,Argiculture,Affluent Customer,Yes,12-15,NSW,10,155.65
72,Male,90-99,40-49,Manufacturing,Affluent Customer,Yes,16-19,QLD,6,2559.78
73,Female,10-19,60+,,Affluent Customer,Yes,04-07,NSW,8,2316.51
74,Female,90-99,50-59,,Mass Customer,Yes,04-07,QLD,8,966.52
75,Female,20-29,40-49,Property,Mass Customer,No,16-19,NSW,8,4979.94
76,Female,20-29,40-49,Retail,High Net Worth,Yes,16-19,QLD,9,2868.16
77,Male,70-79,30-39,Financial Services,Mass Customer,No,04-07,QLD,5,1657.58
78,Male,30-39,30-39,Argiculture,Affluent Customer,No,08-11,NSW,9,82.26
79,Female,70-79,50-59,Manufacturing,Mass Customer,No,16-19,NSW,10,2597.46
80,Male,10-19,40-49,Entertainment,Mass Customer,No,12-15,VIC,1,5988.86
81,Female,50-59,30-39,Health,High Net Worth,No,12-15,NSW,6,3249.02
82,Female,90-99,50-59,Property,High Net Worth,No,16-19,VIC,8,2924.37
83,Male,90-99,50-59,IT,Mass Customer,Yes,16-19,NSW,12,1798.2
84,Male,70-79,60+,,Mass Customer,Yes,12-15,NSW,11,2295.22
85,Male,0-9,60+,,Mass Customer,No,08-11,NSW,11,563.37
86,Male,70-79,30-39,Health,High Net Worth,Yes,04-07,NSW,11,2360.09
87,Male,70-79,40-49,Financial Services,Mass Customer,No,08-11,NSW,12,3740.76
88,Female,40-49,50-59,Property,High Net Worth,Yes,04-07,NSW,12,2534.33
89,Male,70-79,50-59,Health,Mass Customer,Yes,12-15,NSW,11,5779.65
90,Male,70-79,30-39,Manufacturing,Mass Customer,No,08-11,NSW,10,2990.73
91,Male,60-69,60+,Financial Services,Affluent Customer,Yes,16-19,NSW,9,5242.41
92,Female,90-99,40-49,Health,Mass Customer,No,12-15,VIC,10,2967.44
93,Male,60-69,40-49,Retail,Mass Customer,Yes,08-11,VIC,10,2976.41
94,Male,30-39,40-49,Manufacturing,Mass Customer,No,20-22,NSW,7,4902.21
95,Female,60-69,50-59,Manufacturing,Affluent Customer,Yes,08-11,VIC,10,3050.81
96,Male,30-39,50-59,Manufacturing,Mass Customer,No,12-15,NSW,11,1135.25
97,Male,10-19,40-49,Financial Services,Mass Customer,Yes,08-11,NSW,8,3319.02
98,Female,10-19,60+,Health,Mass Customer,No,04-07,NSW,10,1930.56
99,Male,90-99,18-29,Financial Services,Mass Customer,No,00-03,NSW,9,4557.65
100,Male,80-89,50-59,Financial Services,Mass Customer,Yes,04-07,NSW,12,877.4
101,Male,80-89,40-49,Manufacturing,High Net Worth,No,08-11,NSW,10,2589.89
102,Male,50-59,60+,Manufacturing,Affluent Customer,No,16-19,NSW,9,2587.01
103,Female,40-49,18-29,Financial Services,Affluent Customer,Yes,04-07,NSW,12,913.32
104,Female,40-49,40-49,Health,Mass Customer,Yes,08-11,QLD,10,3550.26
105,Female,20-29,18-29,Manufacturing,Mass Customer,No,00-03,NSW,10,3475.04
106,Male,50-59,50-59,Health,High Net Worth,Yes,16-19,NSW,9,2513.69
107,Female,90-99,30-39,Financial Services,Mass Customer,Yes,08-11,NSW,12,2343.97
108,Female,0-9,18-29,,High Net Worth,No,00-03,NSW,8,2557.42
109,Male,10-19,40-49,,Affluent Customer,Yes,04-07,NSW,11,4430.66
110,Male,20-29,18-29,Financial Services,Affluent Customer,No,00-03,VIC,8,2621.55
111,Female,60-69,18-29,,Mass Customer,No,00-03,NSW,12,3014.53
112,Female,80-89,40-49,Retail,High Net Worth,No,12-15,VIC,11,5742.19
113,Male,60-69,60+,,Mass Customer,No,20-22,QLD,4,2200.48
114,Female,10-19,30-39,Entertainment,Affluent Customer,No,08-11,NSW,9,2195.26
115,Male,70-79,30-39,Health,Mass Customer,No,16-19,VIC,1,3135.87
116,Male,40-49,18-29,Manufacturing,Affluent Customer,Yes,00-03,NSW,8,2447.54
117,Female,70-79,30-39,Manufacturing,Mass Customer,No,12-15,QLD,6,6917.34
118,Male,40-49,60+,,High Net Worth,No,16-19,VIC,10,3550.1
119,Male,0-9,30-39,,High Net Worth,Yes,08-11,VIC,7,2625.05
120,Male,80-89,40-49,Financial Services,High Net Worth,Yes,04-07,NSW,2,1306.78
121,Male,80-89,60+,Manufacturing,Mass Customer,No,12-15,NSW,9,2892.09
122,Male,80-89,40-49,Financial Services,Mass Customer,Yes,12-15,QLD,2,2695.22
123,Female,80-89,30-39,Financial Services,High Net Worth,No,12-15,NSW,8,1653.56
124,Female,20-29,18-29,Health,High Net Worth,Yes,04-07,VIC,8,4054.25
125,Female,90-99,60+,Property,Mass Customer,No,16-19,NSW,10,3303.88
126,Male,50-59,18-29,Health,Mass Customer,Yes,00-03,QLD,4,1096.46
127,Female,80-89,40-49,Financial Services,Mass Customer,No,16-19,QLD,1,3993.71
128,Male,70-79,40-49,Property,Mass Customer,Yes,12-15,NSW,5,2193.06
129,Male,60-69,30-39,Financial Services,High Net Worth,Yes,16-19,NSW,9,1161.56
130,Male,30-39,18-29,Manufacturing,Mass Customer,No,00-03,NSW,7,187.39
131,Female,50-59,50-59,Retail,High Net Worth,No,08-11,QLD,3,5494.91
132,Female,0-9,50-59,Manufacturing,Mass Customer,Yes,08-11,NSW,8,2780.72
133,Male,10-19,40-49,Financial Services,Mass Customer,Yes,16-19,QLD,1,803.89
134,Female,30-39,18-29,Telecommunications,Affluent Customer,Yes,04-07,NSW,11,2946.42
135,Female,10-19,40-49,IT,Mass Customer,No,00-03,VIC,6,3254.07
136,Male,40-49,40-49,Manufacturing,High Net Worth,Yes,04-07,QLD,3,3543.2
137,Male,20-29,30-39,Property,High Net Worth,No,08-11,NSW,10,1496.45
138,Male,0-9,30-39,Financial Services,Affluent Customer,Yes,12-15,NSW,9,3377.12
139,Male,0-9,50-59,Telecommunications,Affluent Customer,No,04-07,QLD,1,5161.44
140,Male,0-9,18-29,Manufacturing,Mass Customer,No,00-03,VIC,9,2699.9
141,Male,60-69,60+,Financial Services,High Net Worth,Yes,08-11,NSW,11,2138.35
142,Male,50-59,50-59,Health,Affluent Customer,No,16-19,VIC,9,3917.34
143,Male,10-19,60+,Argiculture,Mass Customer,Yes,08-11,QLD,6,2474.77
145,Male,30-39,18-29,Financial Services,Mass Customer,No,04-07,NSW,5,3140.3
146,Male,30-39,30-39,Manufacturing,Mass Customer,No,08-11,NSW,11,217.06
147,Female,30-39,40-49,Health,Mass Customer,Yes,08-11,NSW,11,5034.16
148,Female,60-69,30-39,,Mass Customer,Yes,04-07,VIC,8,3268.4
149,Female,40-49,18-29,Health,Mass Customer,Yes,00-03,QLD,7,2129.34
150,Male,0-9,30-39,Financial Services,Affluent Customer,No,16-19,NSW,7,2446.51
151,Male,30-39,50-59,Manufacturing,Mass Customer,Yes,12-15,NSW,9,5665.41
152,Female,0-9,30-39,Financial Services,Mass Customer,No,16-19,NSW,12,1966.88
153,Female,70-79,40-49,Entertainment,Mass Customer,Yes,12-15,NSW,8,4243.11
154,Female,90-99,60+,,Mass Customer,No,08-11,NSW,8,683.63
155,Male,0-9,30-39,Manufacturing,Mass Customer,No,08-11,NSW,10,1088.42
156,Female,20-29,40-49,Financial Services,Mass Customer,Yes,08-11,VIC,11,3095.37
157,Male,90-99,40-49,Financial Services,Affluent Customer,No,16-19,VIC,8,381.42
158,Male,90-99,30-39,,Affluent Customer,No,04-07,NSW,6,4627.35
159,Male,90-99,30-39,Health,Affluent Customer,No,12-15,NSW,10,2935.37
160,Male,0-9,50-59,Health,Mass Customer,No,16-19,NSW,11,2614.16
161,Male,40-49,40-49,,Mass Customer,No,16-19,NSW,10,459.46
162,Male,90-99,40-49,IT,Mass Customer,No,12-15,NSW,10,1329.61
163,Female,50-59,40-49,Entertainment,High Net Worth,Yes,12-15,VIC,10,1101.28
164,Female,50-59,18-29,Retail,Affluent Customer,Yes,00-03,QLD,4,786.14
165,Male,60-69,30-39,Argiculture,Mass Customer,Yes,12-15,NSW,10,6182.52
